cR,cP,cY,timestamp
-0.02945446204136163,-0.009400327386960079,0.0878197283484086,1759343176.331911
-0.026696283154308487,-0.01060664498962901,0.07934472158528826,1759343176.3482418
-0.014358970094833085,-0.015546168135843884,0.07667878316373564,1759343176.3973694
-0.02454101891925989,-0.005654408453625314,0.05976711397189997,1759343176.423093
-0.019607425457688465,0.02050461824894916,0.05878643418027432,1759343176.4393966
-0.005592210692584268,0.015818215815163555,0.08190138373955867,1759343176.454034
0.008944912454225646,0.04027366348046828,0.10109646196835141,1759343176.4678285
0.01973728424393873,0.020734914874767543,0.10214131255011057,1759343176.4807036
0.05652916910035955,0.04219756018571902,0.12729076756091526,1759343176.498628
0.09465744855928393,0.04446616791847373,0.14176445327420314,1759343176.51572
0.1633584865363083,0.05272024131683677,0.18419579448054507,1759343176.5285003
0.05444428167065726,0.006337930311517669,0.11520645621982961,1759343176.5427153
0.23010670559996332,0.025605027589829493,0.20937513538216107,1759343176.5559094
0.17459807274192432,0.004414185748005065,0.16760122403745076,1759343176.571168
0.18835201778280367,-0.006122590026878801,0.16760601319459995,1759343176.5841408
0.16025557166638948,-0.005126723645324383,0.1494427514415662,1759343176.6013358
0.28012342023534287,-0.00934656195982049,0.1893261358910575,1759343176.6181383
0.3888828286710286,-0.01319978495659261,0.2128805417800919,1759343176.6329207
0.2709597016010449,-0.0204708899606172,0.1686662593404291,1759343176.6562848
0.2586365893685383,-0.032057914410677166,0.1708028043162564,1759343176.6750412
0.36221243553005705,-0.0791704359557528,0.222655600856774,1759343176.6899064
0.19857962484649727,-0.048951981335472204,0.164963520231966,1759343176.70583
0.18290711653385444,-0.04918302136778521,0.1609832367878217,1759343176.7231495
0.23042708513378513,-0.0767085749877474,0.18293216230414797,1759343176.7436616
0.2674212990717241,-0.12786958932011466,0.22630074059588395,1759343176.7593465
0.17592603739250723,-0.081395195878433,0.18661420989678848,1759343176.778331
0.12126988666476622,-0.05359207549504502,0.16640992327888857,1759343176.803723
0.07405952558583742,-0.03620472882624108,0.14530874266387345,1759343176.8282998
0.00666717772514866,-0.028142117679330225,0.11371924756927874,1759343176.8559556
0.003039888203252933,-0.026708610889970487,0.10196801829987508,1759343176.8729515
0.0027664717076723855,-0.012987310635748194,0.08753522659089444,1759343176.8899317
-0.008492019124127198,-0.019050905410617564,0.08215438990207319,1759343176.911741
-0.017587328780435507,-0.010796324185926895,0.07458798342999043,1759343176.9406974
-0.13082901656097212,0.02097042788204989,0.019018067711232337,1759343176.9685192
-0.12323840433314924,0.017408436027200706,0.027403119102525242,1759343176.9883504
-0.09837821154481544,0.012669399602492738,0.03672700433810676,1759343177.0141628
-0.09606619963514695,0.013665456337084454,0.038694235582608816,1759343177.032623
-0.03591810370651308,-0.003034833543707009,0.07005415343783505,1759343177.0596037
-0.041338746176447,-0.0006211793302704372,0.05569459791305595,1759343177.074123
-0.00019324199619650748,-0.014396753941866685,0.07742194521185577,1759343177.087288
0.0033163012464283922,-0.014329221285727632,0.07767852414494456,1759343177.1037564
0.014071486711206024,-0.013435348067447467,0.08278510194126579,1759343177.1255555
0.0144757166858864,-0.01275859716105953,0.061890112564059456,1759343177.1399252
0.02969301474480527,-0.011196122644046801,0.07566153037578617,1759343177.1537545
0.027562667238340947,-0.012919257164361335,0.07577977709895267,1759343177.1671612
0.028130645708658544,-0.01306249488193274,0.08106355549525973,1759343177.1833189
0.03330160923438685,-0.01508892299959098,0.06393394446515327,1759343177.1985974
0.036336354075524116,-0.014924593761753252,0.0633370206410912,1759343177.2150185
0.04516351477055951,-0.0162743564919092,0.05097627854513946,1759343177.2308471
0.038263435316283394,-0.019231754227483078,0.06506196169873013,1759343177.2507298
